Order Number,Line Item,Order Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code
366000,1,2016-01-01,265598,10,1304,1,CAD
366005,1,2016-01-01,844003,33,421,4,EUR
366009,1,2016-01-01,254540,9,1648,1,CAD
366010,1,2016-01-01,370077,0,618,5,CAD
366013,1,2016-01-01,1187306,41,1654,5,GBP
366016,1,2016-01-01,1982762,63,1253,7,USD
367000,1,2016-01-02,1438050,56,1176,1,USD
367003,1,2016-01-02,980164,40,153,2,GBP
367006,1,2016-01-02,693285,18,2445,3,EUR
367008,1,2016-01-02,763246,28,1951,3,EUR
367011,1,2016-01-02,507981,22,39,1,EUR
367014,1,2016-01-02,1839627,56,1184,3,USD
367015,1,2016-01-02,911025,42,2296,7,GBP
367017,1,2016-01-02,1612400,47,1203,4,USD
368000,1,2016-01-03,892838,32,1440,1,EUR
368001,1,2016-01-03,1670789,64,1598,3,USD
369002,1,2016-01-04,258316,8,1656,1,CAD
369005,1,2016-01-04,1866637,56,183,3,USD
369006,1,2016-01-04,734605,28,654,1,EUR
369011,1,2016-01-04,1664824,0,1261,2,USD
370004,1,2016-01-05,1473090,43,1251,2,USD
370006,1,2016-01-05,661636,16,1272,6,EUR
370008,1,2016-01-05,183264,4,2105,1,AUD
370011,1,2016-01-05,1522590,47,32,2,USD
370013,1,2016-01-05,5097,6,5,2,AUD
371000,1,2016-01-06,728834,30,81,2,EUR
371004,1,2016-01-06,1378439,0,1305,8,USD
371006,1,2016-01-06,1501383,0,1279,1,USD
371007,1,2016-01-06,1378439,0,1639,1,USD
371016,1,2016-01-06,879778,32,1704,2,EUR
372002,1,2016-01-07,1718240,47,1299,7,USD
372004,1,2016-01-07,711449,30,922,9,EUR
372006,1,2016-01-07,2095742,0,125,2,USD
372007,1,2016-01-07,1982994,61,1148,4,USD
372010,1,2016-01-07,784075,29,90,7,EUR
372011,1,2016-01-07,739625,29,1572,1,EUR
372013,1,2016-01-07,1042966,38,1259,2,GBP
373002,1,2016-01-08,1750554,48,1859,5,USD
373003,1,2016-01-08,2082534,56,67,3,USD
373004,1,2016-01-08,460587,24,1765,3,EUR
373009,1,2016-01-08,1064519,0,1589,4,GBP
373011,1,2016-01-08,82415,4,440,2,AUD
374003,1,2016-01-09,1188400,38,1606,1,GBP
374005,1,2016-01-09,239647,8,1197,2,CAD
374006,1,2016-01-09,1387959,65,1622,6,USD
374007,1,2016-01-09,800548,31,1631,3,EUR
374008,1,2016-01-09,789641,29,1217,4,EUR
374009,1,2016-01-09,728541,30,538,3,EUR
374011,1,2016-01-09,174622,5,1256,8,AUD
374015,1,2016-01-09,1451748,55,107,7,USD
374016,1,2016-01-09,1535357,45,9,5,USD
374017,1,2016-01-09,1558964,63,1630,1,USD
374019,1,2016-01-09,193216,6,1109,3,AUD
376000,1,2016-01-11,1862500,43,69,1,USD
376004,1,2016-01-11,1905050,45,1635,6,USD
377003,1,2016-01-12,1129200,40,1942,6,GBP
377005,1,2016-01-12,1022980,37,1634,1,GBP
378008,1,2016-01-13,1035789,39,1619,2,GBP
379000,1,2016-01-14,1171088,39,443,4,GBP
379004,1,2016-01-14,245912,0,321,2,CAD
380003,1,2016-01-15,627789,17,172,3,EUR
380006,1,2016-01-15,549983,27,1969,7,EUR
381005,1,2016-01-16,1803346,50,1946,10,USD
381006,1,2016-01-16,1364334,64,1029,1,USD
381008,1,2016-01-16,982850,42,1707,2,GBP
381009,1,2016-01-16,1187611,42,2086,4,GBP
381011,1,2016-01-16,1302333,45,450,1,USD
383000,1,2016-01-18,1768548,51,1623,3,USD
383001,1,2016-01-18,1584109,61,994,1,USD
383003,1,2016-01-18,568160,19,959,3,EUR
384003,1,2016-01-19,1369624,64,420,4,USD
384005,1,2016-01-19,1022895,37,1597,4,GBP
385003,1,2016-01-20,624165,18,1928,3,EUR
385004,1,2016-01-20,332332,8,2162,1,CAD
385005,1,2016-01-20,1251726,57,2120,3,USD
385007,1,2016-01-20,1273837,61,1112,8,USD
385008,1,2016-01-20,667318,16,1195,1,EUR
386002,1,2016-01-21,1525000,43,581,3,USD
386003,1,2016-01-21,265825,8,1646,1,CAD
386004,1,2016-01-21,2085055,45,1222,3,USD
387001,1,2016-01-22,2011796,51,39,5,USD
387006,1,2016-01-22,1616350,51,1576,1,USD
388001,1,2016-01-23,1730210,0,1616,1,USD
388007,1,2016-01-23,1112613,42,459,4,GBP
388009,1,2016-01-23,930705,40,1585,3,GBP
388013,1,2016-01-23,1559552,0,1657,1,USD
390003,1,2016-01-25,253233,10,1635,1,CAD
390004,1,2016-01-25,1321513,48,152,2,USD
391001,1,2016-01-26,361945,0,1841,1,CAD
392001,1,2016-01-27,1227891,54,155,2,USD
392003,1,2016-01-27,1471397,0,156,8,USD
392008,1,2016-01-27,992150,39,1659,3,GBP
393002,1,2016-01-28,792110,28,662,9,EUR
393008,1,2016-01-28,1823888,57,2038,1,USD
393009,1,2016-01-28,1765579,56,2024,1,USD
394006,1,2016-01-29,1041067,37,1802,6,GBP
394007,1,2016-01-29,1337730,63,2077,5,USD
395000,1,2016-01-30,829132,32,128,4,EUR
395008,1,2016-01-30,1401419,61,128,2,USD
395009,1,2016-01-30,731556,29,1156,2,EUR
395010,1,2016-01-30,1549964,55,1076,5,USD
395014,1,2016-01-30,1178352,42,1605,10,GBP
397000,1,2016-02-01,1677739,55,1649,9,USD
398000,1,2016-02-02,1110229,42,1799,1,GBP
399000,1,2016-02-03,1887449,64,1633,5,USD
399001,1,2016-02-03,687377,12,1781,10,EUR
399002,1,2016-02-03,1476450,51,2054,2,USD
399004,1,2016-02-03,822698,0,1058,3,EUR
399006,1,2016-02-03,1363203,65,361,7,USD
400005,1,2016-02-04,2065817,65,1913,9,USD
400006,1,2016-02-04,1996959,0,1284,3,USD
400009,1,2016-02-04,1310047,45,1746,2,USD
400011,1,2016-02-04,1122248,37,458,2,GBP
401003,1,2016-02-05,376977,8,34,2,CAD
401004,1,2016-02-05,1565847,47,667,6,USD
401007,1,2016-02-05,1774119,47,1494,3,USD
402002,1,2016-02-06,1673191,47,1602,7,USD
402004,1,2016-02-06,1906975,54,1134,5,USD
402010,1,2016-02-06,1653624,0,974,3,USD
405000,1,2016-02-09,1548406,47,1683,2,USD
405005,1,2016-02-09,39894,0,1608,8,AUD
405007,1,2016-02-09,1906549,57,1413,2,USD
406000,1,2016-02-10,1533894,50,1134,2,USD
406004,1,2016-02-10,1389462,43,725,1,USD
406007,1,2016-02-10,1451764,0,1602,2,USD
406009,1,2016-02-10,332217,8,537,3,CAD
407002,1,2016-02-11,1342915,0,1092,8,USD
408002,1,2016-02-12,1297155,43,1279,3,USD
408004,1,2016-02-12,784296,29,1679,2,EUR
408007,1,2016-02-12,656387,14,654,2,EUR
408008,1,2016-02-12,326510,10,1707,4,CAD
408010,1,2016-02-12,1908175,47,115,2,USD
409002,1,2016-02-13,1959938,66,560,7,USD
409007,1,2016-02-13,65163,5,1743,2,AUD
409010,1,2016-02-13,1179746,39,2093,2,GBP
409012,1,2016-02-13,2044567,57,1243,5,USD
409015,1,2016-02-13,613693,15,1175,2,EUR
409019,1,2016-02-13,1157316,41,184,1,GBP
409020,1,2016-02-13,250944,0,1977,1,CAD
409021,1,2016-02-13,730203,0,1642,1,EUR
409022,1,2016-02-13,944448,0,1850,4,GBP
411000,1,2016-02-15,761306,30,148,3,EUR
411002,1,2016-02-15,1965605,0,1616,4,USD
412002,1,2016-02-16,1845084,0,191,4,USD
412003,1,2016-02-16,311493,10,2275,1,CAD
412009,1,2016-02-16,1375827,43,1693,6,USD
412014,1,2016-02-16,1474834,53,1650,3,USD
413001,1,2016-02-17,1857461,45,1689,10,USD
413002,1,2016-02-17,943159,37,1613,3,GBP
413005,1,2016-02-17,1437978,64,2011,1,USD
413009,1,2016-02-17,1868588,44,1308,4,USD
413015,1,2016-02-17,200992,9,1779,1,CAD
413017,1,2016-02-17,1239489,59,76,1,USD
413020,1,2016-02-17,2096292,50,1615,1,USD
413023,1,2016-02-17,1461041,63,166,3,USD
414004,1,2016-02-18,131976,4,2160,4,AUD
414005,1,2016-02-18,1094291,41,1719,2,GBP
414007,1,2016-02-18,2055720,50,1295,1,USD
414008,1,2016-02-18,1441384,48,1289,5,USD
414010,1,2016-02-18,1279593,63,133,1,USD
414014,1,2016-02-18,1338452,54,1081,1,USD
414015,1,2016-02-18,1849306,0,2250,2,USD
414021,1,2016-02-18,544035,19,1763,3,EUR
414023,1,2016-02-18,1749380,65,1654,1,USD
414024,1,2016-02-18,1229784,50,2008,1,USD
415007,1,2016-02-19,1599307,51,108,1,USD
415008,1,2016-02-19,2026025,63,427,3,USD
415009,1,2016-02-19,402995,23,87,8,EUR
415011,1,2016-02-19,450041,23,421,2,EUR
416012,1,2016-02-20,446470,0,2152,2,EUR
416018,1,2016-02-20,610264,16,1183,6,EUR
416019,1,2016-02-20,2023185,64,1258,2,USD
416020,1,2016-02-20,1119720,38,1597,2,GBP
416021,1,2016-02-20,1156460,42,428,7,GBP
416022,1,2016-02-20,135020,6,454,6,AUD
416024,1,2016-02-20,1382226,0,610,4,USD
416028,1,2016-02-20,403860,19,1966,3,EUR
416030,1,2016-02-20,481077,22,2000,5,EUR
418003,1,2016-02-22,1571124,55,670,10,USD
418005,1,2016-02-22,828017,33,1992,5,EUR
418009,1,2016-02-22,1846024,0,1168,4,USD
418011,1,2016-02-22,1986927,64,2435,4,USD
418013,1,2016-02-22,831657,32,737,3,EUR
419002,1,2016-02-23,1725975,66,126,3,USD
419005,1,2016-02-23,1128295,0,1644,6,GBP
419010,1,2016-02-23,1275802,59,313,3,USD
420000,1,2016-02-24,1583170,63,710,5,USD
420009,1,2016-02-24,277538,9,1671,10,CAD
420011,1,2016-02-24,1699480,61,938,1,USD
420012,1,2016-02-24,2037919,0,2091,1,USD
420016,1,2016-02-24,1209643,51,69,1,USD
420017,1,2016-02-24,337695,10,1208,2,CAD
421001,1,2016-02-25,208556,8,1058,3,CAD
421010,1,2016-02-25,1984649,50,1817,4,USD
421015,1,2016-02-25,34850,5,1601,4,AUD
421021,1,2016-02-25,1918131,45,1427,1,USD
422001,1,2016-02-26,543610,23,1687,2,EUR
422003,1,2016-02-26,1886071,44,1693,3,USD
422005,1,2016-02-26,1732661,61,127,1,USD
422006,1,2016-02-26,910064,40,1749,1,GBP
422007,1,2016-02-26,3575,5,1419,3,AUD
423004,1,2016-02-27,979318,42,1250,2,GBP
423005,1,2016-02-27,2055764,50,1170,3,USD
423007,1,2016-02-27,1831518,48,1694,3,USD
423009,1,2016-02-27,1346611,0,1164,2,USD
423011,1,2016-02-27,1388042,45,24,1,USD
423013,1,2016-02-27,206717,0,2112,2,CAD
423014,1,2016-02-27,1910016,0,1428,2,USD
423015,1,2016-02-27,2031187,0,1648,2,USD
423019,1,2016-02-27,908887,37,1571,5,GBP
425001,1,2016-02-29,510088,0,189,1,EUR
425002,1,2016-02-29,1017264,40,1623,2,GBP
425006,1,2016-02-29,724534,28,50,5,EUR
425007,1,2016-02-29,932629,38,2511,7,GBP
426001,1,2016-03-01,1178236,0,35,6,GBP
426004,1,2016-03-01,1500391,0,144,3,USD
426005,1,2016-03-01,1146045,40,1058,2,GBP
426007,1,2016-03-01,1680645,0,447,2,USD
427008,1,2016-03-02,1410548,64,171,7,USD
427010,1,2016-03-02,1391462,53,1597,2,USD
428000,1,2016-03-03,1361042,50,1607,1,USD
428001,1,2016-03-03,211746,8,2096,2,CAD
428011,1,2016-03-03,1302636,57,167,5,USD
429001,1,2016-03-04,1968675,59,459,2,USD
429004,1,2016-03-04,1482039,43,78,1,USD
430004,1,2016-03-05,1230421,59,138,4,USD
430005,1,2016-03-05,1745076,0,639,2,USD
430008,1,2016-03-05,2065524,59,183,5,USD
430013,1,2016-03-05,1236256,0,2059,8,USD
432001,1,2016-03-07,239066,10,1293,2,CAD
432002,1,2016-03-07,2041643,45,1182,2,USD
433000,1,2016-03-08,1762564,48,2263,8,USD
433006,1,2016-03-08,2060646,45,1571,2,USD
434001,1,2016-03-09,1492176,0,335,1,USD
435005,1,2016-03-10,1713539,0,222,2,USD
435009,1,2016-03-10,892225,33,1454,4,EUR
435010,1,2016-03-10,1818370,54,938,5,USD
435011,1,2016-03-10,1055671,38,191,1,GBP
436002,1,2016-03-11,1668458,48,1228,3,USD
437000,1,2016-03-12,459273,19,1294,2,EUR
440001,1,2016-03-15,920213,39,96,5,GBP
440002,1,2016-03-15,1625297,43,1782,2,USD
441001,1,2016-03-16,398577,9,1718,1,CAD
442000,1,2016-03-17,1003048,0,444,5,GBP
479000,1,2016-04-23,948795,39,1355,1,GBP
482003,1,2016-04-26,959017,39,531,5,GBP
484001,1,2016-04-28,1883710,44,1472,3,USD
484004,1,2016-04-28,971117,38,1621,4,GBP
484005,1,2016-04-28,485922,24,96,8,EUR
484007,1,2016-04-28,1829841,65,528,8,USD
485005,1,2016-04-29,976299,37,159,5,GBP
486010,1,2016-04-30,2037292,0,1924,4,USD
486013,1,2016-04-30,328350,8,1636,3,CAD
486014,1,2016-04-30,939181,42,106,3,GBP
488000,1,2016-05-02,1101670,38,1925,7,GBP
488002,1,2016-05-02,1150424,38,1897,7,GBP
489006,1,2016-05-03,796439,30,1619,1,EUR
490002,1,2016-05-04,1210288,54,440,4,USD
490004,1,2016-05-04,1330142,50,319,2,USD
490008,1,2016-05-04,573465,20,1596,7,EUR
490010,1,2016-05-04,1546540,57,1041,8,USD
491004,1,2016-05-05,1826459,43,1854,3,USD
491006,1,2016-05-05,1358803,66,2358,6,USD
491008,1,2016-05-05,1275055,63,599,2,USD
492001,1,2016-05-06,1480378,59,1310,4,USD
492006,1,2016-05-06,1637399,63,1595,2,USD
492007,1,2016-05-06,1353862,44,1098,2,USD
493004,1,2016-05-07,1524676,64,1338,5,USD
493005,1,2016-05-07,1995697,61,160,2,USD
493007,1,2016-05-07,1268392,66,1790,3,USD
493008,1,2016-05-07,1809447,43,119,2,USD
495000,1,2016-05-09,999342,39,106,1,GBP
495002,1,2016-05-09,1029757,42,1593,1,GBP
496002,1,2016-05-10,1112155,41,2173,6,GBP
496003,1,2016-05-10,200903,8,118,1,CAD
496004,1,2016-05-10,1981868,43,1514,3,USD
496005,1,2016-05-10,661295,18,471,2,EUR
496006,1,2016-05-10,1875792,57,731,1,USD
496007,1,2016-05-10,161962,6,1717,8,AUD
497000,1,2016-05-11,1019297,42,1061,5,GBP
497002,1,2016-05-11,453872,27,2090,8,EUR
497003,1,2016-05-11,1790139,61,1450,4,USD
497004,1,2016-05-11,1191344,41,4,2,GBP
497005,1,2016-05-11,907585,40,1242,1,GBP
498000,1,2016-05-12,1306013,65,221,2,USD
498002,1,2016-05-12,1931525,0,1612,8,USD
498006,1,2016-05-12,1592800,59,467,5,USD
498011,1,2016-05-12,761955,0,1637,1,EUR
500005,1,2016-05-14,228850,10,2146,7,CAD
500009,1,2016-05-14,1351590,0,176,8,USD
500010,1,2016-05-14,972627,41,452,1,GBP
502000,1,2016-05-16,1929743,55,57,1,USD
502001,1,2016-05-16,1494306,59,1545,3,USD
502005,1,2016-05-16,1688698,56,1148,6,USD
503000,1,2016-05-17,2057574,51,2001,4,USD
503005,1,2016-05-17,1659112,43,184,2,USD
504003,1,2016-05-18,518368,24,147,6,EUR
505001,1,2016-05-19,636035,13,2442,3,EUR
505004,1,2016-05-19,1924461,54,994,3,USD
505005,1,2016-05-19,1258398,55,436,2,USD
505006,1,2016-05-19,1397271,53,687,4,USD
505010,1,2016-05-19,1606420,61,1187,5,USD
506000,1,2016-05-20,1750248,0,75,1,USD
506002,1,2016-05-20,918835,0,1599,6,GBP
506006,1,2016-05-20,1566037,54,2133,1,USD
506007,1,2016-05-20,1790366,0,2457,3,USD
507000,1,2016-05-21,125236,5,2115,1,AUD
507003,1,2016-05-21,524697,0,1549,4,EUR
507005,1,2016-05-21,375384,10,2150,6,CAD
507010,1,2016-05-21,1511494,61,1598,1,USD
507011,1,2016-05-21,760031,30,1586,2,EUR
507012,1,2016-05-21,2000872,47,2502,2,USD
509000,1,2016-05-23,1697895,0,189,4,USD
509003,1,2016-05-23,1025562,36,1436,3,GBP
510000,1,2016-05-24,627709,0,2247,1,EUR
510001,1,2016-05-24,1854760,59,1605,6,USD
510005,1,2016-05-24,1533381,55,1170,8,USD
510006,1,2016-05-24,1693175,55,622,8,USD
511000,1,2016-05-25,1860389,53,1698,6,USD
511004,1,2016-05-25,1690335,50,207,6,USD
511009,1,2016-05-25,375376,8,130,2,CAD
512002,1,2016-05-26,1525193,50,2086,7,USD
512007,1,2016-05-26,1070054,38,1617,2,GBP
512011,1,2016-05-26,905783,39,1296,9,GBP
513001,1,2016-05-27,1576532,51,1176,2,USD
513002,1,2016-05-27,921171,42,959,2,GBP
513003,1,2016-05-27,423693,20,61,7,EUR
513004,1,2016-05-27,1546647,65,1776,2,USD
513007,1,2016-05-27,987208,37,182,3,GBP
514001,1,2016-05-28,1559711,66,1574,3,USD
514008,1,2016-05-28,1377680,50,1594,1,USD
514009,1,2016-05-28,1266986,61,1571,7,USD
514010,1,2016-05-28,1308993,64,1586,3,USD
514013,1,2016-05-28,1052960,0,507,1,GBP
516003,1,2016-05-30,1854563,65,1015,7,USD
516005,1,2016-05-30,339050,8,1264,5,CAD
517001,1,2016-05-31,1109358,39,1151,3,GBP
517002,1,2016-05-31,1855193,54,691,3,USD
517004,1,2016-05-31,1763268,55,1797,2,USD
517005,1,2016-05-31,1509730,51,48,1,USD
519001,1,2016-06-02,1681099,61,135,3,USD
519010,1,2016-06-02,627190,18,96,7,EUR
520006,1,2016-06-03,820595,34,1760,5,EUR
521004,1,2016-06-04,901932,37,1796,4,GBP
521005,1,2016-06-04,576875,0,38,1,EUR
521008,1,2016-06-04,743399,28,2071,8,EUR
523001,1,2016-06-06,1067702,36,2245,2,GBP
523005,1,2016-06-06,1227963,0,1466,2,USD
524003,1,2016-06-07,1615716,63,141,1,USD
524005,1,2016-06-07,1032990,39,182,7,GBP
525001,1,2016-06-08,339448,9,65,2,CAD
525004,1,2016-06-08,1801831,48,358,1,USD
525006,1,2016-06-08,1596264,44,389,4,USD
525007,1,2016-06-08,206407,8,470,7,CAD
526000,1,2016-06-09,1866388,61,145,1,USD
526003,1,2016-06-09,1132370,42,2106,8,GBP
526004,1,2016-06-09,875439,0,1128,4,EUR
526005,1,2016-06-09,1691521,44,1619,3,USD
526008,1,2016-06-09,351879,0,384,6,CAD
